id,title,release_date,moby_score,moby_url,platforms,genres,developers,publishers
7737,Cosmic Carnage,1994-12,5.71,https://www.mobygames.com/game/7737/cosmic-carnage/,SEGA 32X,"Action, Sci-fi / futuristic, Arcade, Side view, Fighting, 2D scrolling, Regional differences",Almanic Corp.,"SEGA of America, Inc., SEGA Enterprises Ltd., Tec Toy Indústria de Brinquedos S.A."
3710,Resident Evil: Survivor,2000-01-27,5.68,https://www.mobygames.com/game/3710/resident-evil-survivor/,"Windows, PlayStation","Action, 1st-person, Shooter, Puzzle elements, Horror, Survival horror, Regional differences","Tose Co., Ltd.","Eidos Interactive Limited, Capcom Co., Ltd."
11609,Snoopy's Silly Sports Spectacular,1988-09-22,5.64,https://www.mobygames.com/game/11609/snoopys-silly-sports-spectacular/,NES,"Sports, Side view, Olympiad / mixed sports, Licensed, Regional differences","Kotobuki System Co., Ltd.","Kotobuki System Co., Ltd."
37934,Battlestrike: Force of Resistance,2008-10-03,5.63,https://www.mobygames.com/game/37934/battlestrike-force-of-resistance/,Windows,"Action, 1st-person, Shooter, Direct control, World War II, Regional differences",City Interactive S.A.,"City Interactive S.A., Noviy Disk"
55299,Resident Evil: Operation Raccoon City,2012-03-20,5.62,https://www.mobygames.com/game/55299/resident-evil-operation-raccoon-city/,"Windows, Xbox 360, PlayStation 3, Xbox One, Xbox Series","Action, Shooter, Survival horror, Behind view, Regional differences","Slant Six Games Inc., Capcom Co., Ltd.","Capcom Co., Ltd., ak tronic Software & Services GmbH"
32417,The Combatribes,1990,5.61,https://www.mobygames.com/game/32417/the-combatribes/,"SNES, Wii, Arcade, Antstream","Action, Sci-fi / futuristic, Arcade, Side view, Beat 'em up / brawler, 2D scrolling, Regional differences",Technos Japan Corp.,"American Technos Inc., Aksys Games Localization, Inc., Technos Japan Corp."
22960,Terrorist Takedown: War in Colombia,2006-05-19,5.61,https://www.mobygames.com/game/22960/terrorist-takedown-war-in-colombia/,Windows,"Action, 1st-person, Shooter, War, South America, Regional differences",CITY interactive Sp. z o.o.,"dtp Vertrieb und Marketing GmbH, CITY interactive Sp. z o.o., Nobilis France, Akella"
8760,The Adventures of Bayou Billy,1988-08-12,5.61,https://www.mobygames.com/game/8760/the-adventures-of-bayou-billy/,"NES, Wii U","Action, Racing / Driving, Side view, Beat 'em up / brawler, Behind view, 2D scrolling, Regional differences",Konami Industry Co. Ltd.,"Konami Industry Co. Ltd., Konami Digital Entertainment, Inc., Konami Digital Entertainment GmbH, Konami, Inc."
39931,Scorpion: Disfigured,2009-03-31,5.59,https://www.mobygames.com/game/39931/scorpion-disfigured/,Windows,"Action, 1st-person, Shooter, Regional differences",B-COOL Interactive,Akella
5669,Beyond Time,1996-11-22,5.54,https://www.mobygames.com/game/5669/beyond-time/,"Windows, Windows 3.x","Adventure, 1st-person, Puzzle elements, Regional differences","Jones & Jones Multimedia, LLC","Virgin Sound and Vision, NEC Interchannel, Ltd., DreamCatcher Interactive Inc."
8727,Delta Force: Task Force Dagger,2002-06-10,5.52,https://www.mobygames.com/game/8727/delta-force-task-force-dagger/,Windows,"Action, 1st-person, Shooter, Direct control, Asia, Contemporary, Regional differences","Zombie Inc., Zombie Studios Inc., NovaLogic, Inc.","Snowball.ru, Electronic Arts, Inc., NovaLogic, Inc., THQ Nordic GmbH, Global Software Publishing Ltd., 1C Company, Jiangsu Digitaland Technology Co., Ltd."
1678,John Romero's Daikatana,2000-05-23,5.49,https://www.mobygames.com/game/1678/john-romeros-daikatana/,Windows,"Action, 1st-person, Sci-fi / futuristic, Shooter, Fantasy, Direct control, Europe, North America, Regional differences, Japan (Modern/Futuristic)","Ion Storm, L.P.","Square Enix Limited, Acer TWP Corp, Sold Out Sales & Marketing Ltd., Eidos Interactive Limited"
43055,Battlestrike: The Road to Berlin,2005-05-14,5.47,https://www.mobygames.com/game/43055/battlestrike-the-road-to-berlin/,Windows,"Action, 1st-person, Shooter, 3rd-person (Other), World War II, Regional differences",CITY interactive Sp. z o.o.,"dtp entertainment AG, 1C Company"
33500,Terrorist Takedown 2: US Navy SEALs,2008-02-18,5.47,https://www.mobygames.com/game/33500/terrorist-takedown-2-us-navy-seals/,Windows,"Action, 1st-person, Shooter, War, Middle East, Regional differences",CITY interactive Sp. z o.o.,"CITY interactive Sp. z o.o., Noviy Disk"
24211,The Stalin Subway,2005-09-29,5.42,https://www.mobygames.com/game/24211/the-stalin-subway/,Windows,"Action, 1st-person, Shooter, Cold War, Regional differences","G5 Software LLC, Orion","Frogster Interactive Pictures AG, Buka Entertainment"
42917,Darkest of Days,2009-09-07,5.41,https://www.mobygames.com/game/42917/darkest-of-days/,"Windows, Xbox 360, Macintosh","Action, 1st-person, Sci-fi / futuristic, Historical events, Shooter, Direct control, Regional differences","8monkey Labs, Inc.","Valcon Games LLC, TGC - The Games Company GmbH, Virtual Programming Ltd., Akella, Phantom EFX"
10584,RoboCop,2003-04-30,5.41,https://www.mobygames.com/game/10584/robocop/,"Windows, PlayStation 2, Xbox, GameCube","Action, 1st-person, Sci-fi / futuristic, Shooter, Licensed, Crime, Regional differences","Titus Interactive, S.A.","Euro Services Internet, Titus Interactive, S.A., Titus Japan K.K., 1C Company, MGM Interactive, Titus Software Corporation"
49687,Carmageddon,1999,5.4,https://www.mobygames.com/game/49687/carmageddon/,Game Boy Color,"Action, Racing / Driving, Off-roading, Diagonal-down, 2D scrolling, Automobile, Regional differences",Aqua Pacific Ltd.,"Titus Software Corporation, SCi (Sales Curve Interactive) Ltd."
18012,The Crow: City of Angels,1996,5.4,https://www.mobygames.com/game/18012/the-crow-city-of-angels/,"Windows, PlayStation, SEGA Saturn","Action, Arcade, Cyberpunk / dark sci-fi, Licensed, Beat 'em up / brawler, 3rd-person (Other), Regional differences",Gray Matter Inc.,"Acclaim Entertainment, Inc., Acclaim Japan, Ltd."
17970,Marine Sharpshooter II: Jungle Warfare,2004-06-24,5.39,https://www.mobygames.com/game/17970/marine-sharpshooter-ii-jungle-warfare/,Windows,"Action, 1st-person, Shooter, Africa, Regional differences",Jarhead Games Inc.,"Russobit-M, Hip Interactive Corp., Groove Games, Funbox Media Ltd."
52825,Code of Honor 2: Conspiracy Island,2008,5.29,https://www.mobygames.com/game/52825/code-of-honor-2-conspiracy-island/,Windows,"Action, 1st-person, Shooter, Direct control, South America, Regional differences",City Interactive S.A.,City Interactive S.A.
20380,Psychotoxic,2004-08-20,5.29,https://www.mobygames.com/game/20380/psychotoxic/,Windows,"Action, 1st-person, Sci-fi / futuristic, Shooter, Horror, Regional differences",Nuclearvision Entertainment GmbH,"Whiptail Interactive, Vidis Electronic Vertriebs GmbH, 1C Company"
19781,Army Ranger: Mogadishu,2005-05,5.25,https://www.mobygames.com/game/19781/army-ranger-mogadishu/,Windows,"Action, 1st-person, Shooter, War, Direct control, Africa, Regional differences",Jarhead Games Inc.,"Groove Games, 1C Company, CITY interactive Sp. z o.o."
43457,Painkiller: Resurrection,2009-10-27,5.25,https://www.mobygames.com/game/43457/painkiller-resurrection/,Windows,"Action, 1st-person, Shooter, Horror, Direct control, Regional differences",Homegrown Games,"JoWooD Productions Software AG, DreamCatcher Interactive Inc., Noviy Disk"
52015,Sniper: Art of Victory,2007-12-07,5.24,https://www.mobygames.com/game/52015/sniper-art-of-victory/,Windows,"Action, 1st-person, Shooter, Stealth, World War II, Regional differences",City Interactive S.A.,City Interactive S.A.
17226,Red Ninja: End of Honor,2005-03-03,5.23,https://www.mobygames.com/game/17226/red-ninja-end-of-honor/,"PlayStation 2, Xbox","Action, Martial arts, Stealth, 3rd-person (Other), Free camera, Japan (Ancient/Classical/Medieval), Regional differences",Tranji Studio,"Vivendi Universal Games, Inc., Vivendi Universal Games Asia Pacific Pte. Ltd., Sierra Entertainment, Inc."
66211,Enemy Front,2014-06-10,5.22,https://www.mobygames.com/game/66211/enemy-front/,"Windows, Xbox 360, PlayStation 3, Blacknut, Gloud","Action, 1st-person, Historical events, Shooter, Stealth, World War II, Regional differences","CI Games S.A., City Interactive Rzeszów","BANDAI NAMCO Games America Inc., CI Games S.A."
18193,World War II: Sniper - Call to Victory,2004-10-12,5.21,https://www.mobygames.com/game/18193/world-war-ii-sniper-call-to-victory/,Windows,"Action, 1st-person, Shooter, World War II, Regional differences",Jarhead Games Inc.,"Groove Games, 1C Company, CITY interactive Sp. z o.o."
18567,Hellforces,2004-11-24,5.21,https://www.mobygames.com/game/18567/hellforces/,Windows,"Action, 1st-person, Sci-fi / futuristic, Shooter, Horror, Direct control, Regional differences",Orion,"GMX Media, MC2 France, Frogster Interactive Pictures AG, Buka Entertainment"
10675,CTU: Marine Sharpshooter,2003-03-20,5.17,https://www.mobygames.com/game/10675/ctu-marine-sharpshooter/,Windows,"Action, 1st-person, Shooter, Direct control, Regional differences",Jarhead Games Inc.,"1C Company, Groove Games"
6765,Revolution X,1994,5.15,https://www.mobygames.com/game/6765/revolution-x/,"DOS, PlayStation, SNES, Genesis, SEGA Saturn, Arcade","Action, 1st-person, Sci-fi / futuristic, Rail shooter, Regional differences",Midway Manufacturing Company,"Midway Manufacturing Company, Acclaim Entertainment, Inc."
